SampleName,D,alpha,beta,gamma,k1,Ol,Oh,D_int_1,D_int_2,alpha_int_1,alpha_int_2,beta_int_1,beta_int_2,gamma_int_1,gamma_int_2,k1_int_1,k1_int_2,Ol_int_1,Ol_int_2,Oh_int_1,Oh_int_2,loss,loss_worst,dx,NumNonZeroPixels,HeteroScore
Breast_0520_2_1_All_Patch_87,6609770.03044237,73.7880871697414,3.069031384044,0.393074707352359,2.34422174515072,1.1720956606759e-05,0.833682219256679,703.92963635269,80238415.9368125,1,100,1.82814445505087,83.0783644447849,0.392503965320669,0.472922615362328,1.77413464754953,8.59950050800258,1e-05,0.0010443356662396,0.805233296036835,0.995491176628324,0.0010987711552367,14.0409926999184,8,0.0110278811371191,0.0787427237227085
Breast_0520_2_1_All_Patch_94,276.664814346004,33.7869331339428,2.11404391575554,5,7.23455594353982,0.169795747133494,0.901002760826251,276.664814346004,276.664814346004,33.7869331339428,33.7869331339428,2.11404391575554,2.11404391575554,5,5,7.23455594353982,7.23455594353982,0.169795747133494,0.169795747133494,0.901002760826251,0.901002760826251,6.28544531261082e-05,14.0822004554178,8,0.00266274950004665,0.0227755249782138
Breast_0520_2_1_All_Patch_95,123.681317855809,9.64065542007832,14.8090861812205,0.398121451857685,0.757883834923712,0.0215814189107498,0.915190532206444,100.038777016942,98439832.7842659,1.16386467748983,100,1.05621472173639,96.8959461784234,0.324025814660449,0.545531488589003,1e-05,1.0725749803159,1.1720956606759e-05,0.298111450190014,0.820084403292455,0.995491176628324,0.0001911379920252,14.0788231459291,8,0.00503758601352036,0.0440237086714671
Breast_0520_2_1_All_Patch_96,6609770.03044237,73.788188508271,3.06992250035462,0.304984494326917,1e-05,1.1720956606759e-05,0.833682219256679,10888.3121789604,80238415.9368125,1,73.788188508271,3.06992250035462,82.9057623972461,0.292057132750105,0.30736915641833,1e-05,1.07807284355828,1.1720956606759e-05,7.01414135627673e-05,0.833682219256679,0.965855068237273,0.0033789389065825,14.0048857035315,8,0.00588907995254512,0.0485344410528012
Breast_0520_2_1_All_Patch_98,227.776704521448,43.1760293703117,3.56492306459218,0.570781081797895,1e-05,0.0007381680841956,0.923699833564899,123.857507124979,98439832.7842659,1.06360430411934,99.9081658613017,1.056598614085,96.8972337759866,0.570780367693402,0.570785322858694,1e-05,1e-05,1.1720956606759e-05,0.298111450190014,0.803915524710664,0.997974430726301,0.0001506175373854,14.0824862197725,8,1.39500235755398e-06,0
Breast_0520_2_2_All_Patch_11,433.808531250543,44.3520644052212,3.72973554255715,0.452636657857924,1e-05,6.63134611281042e-05,0.821237804091189,123.857477476801,98439832.7842661,1.17183668877541,99.9999999811933,1.05634112545509,97.0161227838776,0.424237073167232,0.477060859804156,1e-05,0.151466152928414,1.1720956606759e-05,0.298111450190014,0.805233296036835,0.995491176628324,0.0001805131655253,13.9889187167239,8,0.000919840329544156,0.0115775898729067
Breast_0520_2_2_All_Patch_12,6609770.03044237,73.7879164379962,3.06960533833725,0.227466178481405,1.22686378745043,1.1720956606759e-05,0.833682219256679,1235467.78604606,6609770.03044237,9.68352204432033,73.7879164379962,3.06960533833725,60.5072230395201,0.227466178481405,0.340802582873715,1.22686378745043,4.15787740396246,1.1720956606759e-05,2.70295368873959e-05,0.833682219256679,0.965855068237273,0.0005037464795602,13.9599521723969,8,0.0103266456381453,0.0861133642700884
Breast_0520_2_2_All_Patch_13,640.333130435268,9.75072231142896,3.0708680973136,0.248416645855215,0.920073299960916,1.85199692253669e-05,0.881685202772452,380.521811457078,93120145.3406881,1.21085345345471,98.1809656953922,1,94.4249189018603,0.235511513249326,0.354493839024835,1e-05,0.920073299960916,1.1720956606759e-05,0.0656108029535662,0.803915524710664,0.997974430726301,0.0004245938514879,13.9610316218759,8,0.00945634627486388,0.0776011465298443
Breast_0520_2_2_All_Patch_14,45333777.176822,19.6137796502827,8.67763715447644,0.394739737335596,5.18687091910728,0.0019354690292087,0.910237782026929,1097.24284687201,80238415.9368125,1.00000283060385,82.2154343175724,1.82553599704586,83.0782558552746,0.261130279733589,0.418341966836492,2.75195446581421,10,1.1720956606759e-05,0.0019354690292087,0.805233296036835,0.995491176628324,0.0002424969739292,13.9742474838251,8,0.00823106358196238,0.0715117265683476
Breast_0520_2_2_All_Patch_15,38896.1862925981,1,45.8833827175357,0.3849124708948,3.94416803961581,0.0002121603274418,0.848205200519767,438.673287242672,80238415.9368125,1,90.7913413340237,1.8089350210624,83.0783709003218,0.296349273636193,0.413670412602067,2.2954324597126,10,1e-05,0.000643226090687,0.821237804091189,0.995491176628324,0.0018986750846324,13.9250912497807,8,0.0100948628651165,0.0843046676516806
Breast_0520_2_2_All_Patch_16,80238415.9368125,1.23747924749585,12.5734511324698,0.276940623926229,0.472572956480736,7.01414135627673e-05,0.937592052787807,640.346906085941,80238415.9368125,1,82.0984413917748,2.42072493056151,83.0783530637092,0.25871691340903,0.290562053934693,1e-05,9.81790632864378,1e-05,0.0019354690292087,0.805233296036835,0.984249615335604,0.0017547302144073,13.835097100325,8,0.00683387858960378,0.0624998726137236
Breast_0520_2_2_All_Patch_17,24862.6462675572,1,4.43637250426879,0.414799262977461,10,1.0120855037403e-05,0.995491176628324,123.915167756002,98439832.7842659,1,100,1.00020411091088,96.8963495016323,0.0670650755171124,1.38260066048692,1e-05,10,1e-05,0.299998433958305,0.803915524710664,0.997974430726301,0.024381835937847,13.8110670422991,8,0.0115683446488667,0.0832363217228609
Breast_0520_2_2_All_Patch_18,5648.18419785601,13.390736578174,5.05185275133278,0.281312936668952,1e-05,1e-05,0.913569039884425,230.567719622766,80238415.9368125,1,98.1460875984364,1.27888942985794,98.1554766172981,0.265195857134216,0.498864308192043,1e-05,5.30814283677866,1e-05,0.0416708721067183,0.803915524710664,0.997974430726301,0.002530065273226,13.8582751519342,8,0.00974277193435036,0.076400524806144
Breast_0520_2_2_All_Patch_19,38896.1844592973,82.9368861437204,46.0888565612217,0.455672006255627,8.99100685776727,0.0002121603274418,0.848205200519767,380.522336735286,80238415.9368125,1.24847841938644,100,1,83.0784680236362,0.385726718863434,0.700000893591918,0.345463523828586,10,1e-05,0.0080569132896995,0.805233296036835,0.995491176628324,0.0005470224052584,13.9727555823373,8,0.00240381796648726,0.0245033068061834
